#{"t_start": 1780992508.287843, "env_id": "None"}
r,l,t,task_success,target
-12.820899,80,28.026067,False,carrot
-9.806896,101,47.209592,False,carrot
-5.617976,71,60.530347,False,carrot
-20.712044,133,76.778463,False,carrot
-19.165118,115,90.57761,False,carrot
-27.008949,124,107.114471,False,carrot
-14.882864,122,121.782778,False,carrot
-27.440784,153,139.082031,False,carrot
88.881578,92,150.485962,True,carrot
-8.329691,62,160.983661,False,carrot
-8.725526,102,173.729222,False,carrot
-22.060083,142,190.370687,False,carrot
-29.272313,172,206.289557,False,carrot
-17.108208,152,222.365606,False,carrot
74.292121,169,237.407197,True,carrot
87.022532,118,250.498593,True,carrot
-20.127101,128,268.262934,False,carrot
7.165707,44,276.197184,False,carrot
-21.984862,153,293.503841,False,carrot
-17.829262,131,306.892154,False,carrot
93.753917,117,319.768183,True,carrot
-3.48519,135,335.687929,False,carrot
-19.805799,134,348.527421,False,carrot
-14.530406,84,362.831008,False,carrot
-1.145411,60,371.868639,False,carrot
-8.541137,139,388.923287,False,carrot
99.610167,55,398.525352,True,carrot
7.910618,70,409.318861,False,carrot
1.447298,78,419.762526,False,carrot
-4.429555,84,436.690604,False,carrot
10.339265,46,446.609959,False,carrot
9.155044,38,454.313971,False,carrot
-13.48066,172,470.003708,False,carrot
11.017422,34,478.6005,False,carrot
-13.484881,160,494.901323,False,carrot
7.501298,56,500.947625,False,carrot
10.995214,35,510.042654,False,carrot
6.63065,78,524.158801,False,carrot
96.996622,120,541.681996,True,carrot
1.222263,108,557.544778,False,carrot
10.597588,52,565.112733,False,carrot
-18.594404,165,583.496115,False,carrot
-5.668511,200,598.009432,False,carrot
6.401732,86,608.068726,False,carrot
3.26269,200,623.826897,False,carrot
104.637929,73,636.149306,True,carrot
104.840518,101,651.618105,True,carrot
116.216893,53,663.569805,True,carrot
131.152985,40,672.951729,True,carrot
-0.978148,32,679.860391,False,carrot
-3.535133,99,692.4144,False,carrot
8.652497,39,700.20194,False,carrot
106.491527,70,717.020394,True,carrot
100.86901,128,730.700139,True,carrot
10.189261,57,739.55564,False,carrot
-9.54434,187,755.870751,False,carrot
11.282568,69,763.852938,False,carrot
105.045773,77,772.559664,True,carrot
113.60088,28,779.65779,True,carrot
28.310323,48,786.996193,False,carrot
6.004879,118,803.783063,False,carrot
111.846483,68,815.209503,True,carrot
