#{"t_start": 1781100550.140838, "env_id": "None"}
r,l,t,task_success,target
64.061167,200,36.246718,False,carrot
122.384351,38,46.476266,True,carrot
70.296322,200,69.795644,False,carrot
114.106371,16,76.712003,True,potato
121.683606,35,88.306031,True,potato
117.138822,17,95.98653,True,potato
105.353978,22,106.391628,True,wheat
47.594231,200,129.764633,False,wheat
126.113636,106,143.280415,True,wheat
114.533428,19,151.006224,True,potato
113.247863,21,160.506764,True,potato
113.382936,22,167.204424,True,potato
60.892865,200,191.501577,False,wheat
105.897917,20,198.106628,True,wheat
105.470555,24,206.181451,True,wheat
63.739595,200,231.999069,False,carrot
15.312597,20,238.281342,False,carrot
13.201346,40,248.823852,False,carrot
113.662439,18,255.557101,True,carrot
115.490036,32,263.850957,True,carrot
5.392597,16,269.200894,False,carrot
115.620613,22,276.835842,True,potato
116.271507,19,282.88316,True,potato
120.841399,61,295.638656,True,potato
105.693557,18,301.646958,True,wheat
47.490641,200,326.29751,False,wheat
106.229801,22,334.10408,True,wheat
45.372484,200,354.406168,False,wheat
62.60703,200,375.192147,False,wheat
105.592597,16,380.859351,True,wheat
115.410613,22,387.323238,True,potato
115.384177,27,394.557833,True,potato
113.058434,24,401.516197,True,potato
6.163557,20,407.152012,False,carrot
18.719563,39,415.478915,False,carrot
7.652842,40,422.969158,False,carrot
61.875948,200,447.994847,False,carrot
62.464826,200,469.181574,False,carrot
17.481775,31,477.647769,False,carrot
116.494709,22,485.754916,True,potato
116.461105,22,497.981289,True,potato
118.37733,20,508.978154,True,potato
106.096659,22,517.370599,True,wheat
106.568444,24,525.188698,True,wheat
109.500642,37,543.504475,True,wheat
110.694428,19,552.110535,True,potato
115.328822,21,558.350784,True,potato
117.9255,22,564.810959,True,potato
105.624436,20,572.230791,True,wheat
105.748071,16,580.786902,True,wheat
106.225766,31,590.267121,True,wheat
29.832981,80,601.223327,False,carrot
33.813452,80,612.488025,False,carrot
146.504865,109,625.676398,True,carrot
24.468041,56,635.86159,False,carrot
80.774793,200,657.612142,False,carrot
112.45588,19,664.265095,True,carrot
22.269698,62,677.984703,False,wheat
113.556476,60,687.950171,True,wheat
56.74046,200,709.781424,False,wheat
16.114227,27,716.32861,False,potato
114.22241,18,722.418383,True,potato
116.11833,20,728.296448,True,potato
33.562906,84,740.380285,False,potato
118.370015,19,747.114288,True,potato
120.260475,37,754.954935,True,potato
116.607124,27,761.237597,True,carrot
117.527171,31,772.176741,True,carrot
116.801507,23,779.928463,True,carrot
107.305878,19,785.759912,True,wheat
2.621767,19,792.773628,False,wheat
9.310015,23,798.622088,False,wheat
115.90554,17,804.013337,True,potato
19.435759,41,812.838849,False,potato
8.016211,25,819.534025,False,potato
107.57896,27,825.815714,True,wheat
58.268518,200,844.764325,False,wheat
11.061868,43,851.388508,False,wheat
41.658865,91,862.509629,False,carrot
119.665195,22,869.48526,True,carrot
115.048786,24,877.032449,True,carrot
117.435619,23,882.830797,True,potato
24.107965,46,891.374058,False,potato
118.343849,29,897.161752,True,potato
44.829136,200,917.41938,False,wheat
103.268823,15,923.301117,True,wheat
9.766219,29,931.088652,False,wheat
4.366371,17,938.864603,False,carrot
130.988057,59,949.826702,True,carrot
8.890064,21,955.877248,False,carrot
110.703856,34,962.949595,True,wheat
106.672597,14,970.197688,True,wheat
103.852338,19,978.661346,True,wheat
124.661621,39,985.391399,True,carrot
9.154628,30,992.146718,False,carrot
3.673172,17,999.689302,False,carrot
115.11833,18,1006.197061,True,potato
117.111105,23,1013.867391,True,potato
116.328484,19,1019.389467,True,potato
5.419315,17,1025.188628,False,carrot
23.820737,41,1032.228871,False,carrot
2.346188,23,1037.709601,False,carrot
118.093758,32,1044.453051,True,potato
116.248563,18,1049.432701,True,potato
118.256487,34,1056.297259,True,potato
111.0567,32,1064.69235,True,wheat
110.377678,47,1072.053226,True,wheat
121.456788,68,1082.151289,True,wheat
114.32554,23,1088.827279,True,potato
116.285008,21,1097.058264,True,potato
37.343754,110,1110.292929,False,potato
6.5865,30,1117.106259,False,carrot
15.265888,26,1123.437439,False,carrot
115.005049,17,1128.415812,True,carrot
104.849315,17,1133.144839,True,wheat
116.017048,65,1142.349264,True,wheat
55.223404,200,1160.549115,False,wheat
7.149188,27,1167.331299,False,wheat
106.316211,28,1173.716035,True,wheat
49.130804,200,1193.175051,False,wheat
126.254103,45,1201.319194,True,carrot
127.627046,52,1209.107547,True,carrot
116.263557,21,1216.159132,True,carrot
114.045049,19,1221.9577,True,potato
116.921105,23,1229.806295,True,potato
117.522752,31,1236.000502,True,potato
118.656775,38,1246.658929,True,potato
118.57959,25,1253.664881,True,potato
115.715512,34,1260.135267,True,potato
57.986583,200,1279.654103,False,wheat
135.82926,155,1295.175693,True,wheat
62.405595,200,1318.190005,False,wheat
15.872522,29,1324.862638,False,carrot
126.917385,48,1332.608108,True,carrot
117.141105,20,1339.75892,True,carrot
111.539692,46,1347.685319,True,wheat
104.708289,27,1354.893069,True,wheat
57.512891,200,1381.222701,False,wheat
67.354953,200,1405.331023,False,potato
26.487034,40,1413.381177,False,potato
43.66011,114,1432.621552,False,potato
113.810228,16,1440.397465,True,carrot
59.606716,200,1460.375546,False,carrot
113.437873,16,1467.44419,True,carrot
116.512597,18,1473.984321,True,carrot
133.929224,60,1483.480044,True,carrot
20.375342,31,1489.730182,False,carrot
120.825163,37,1498.613159,True,potato
114.949653,27,1504.322028,True,potato
115.080613,22,1510.030444,True,potato
104.551131,35,1517.214011,True,wheat
115.811352,68,1526.433539,True,wheat
111.237161,48,1534.072846,True,wheat
75.096414,200,1553.015355,False,potato
115.21554,20,1558.290402,True,potato
113.037727,21,1563.909872,True,potato
65.673351,200,1581.704751,False,carrot
14.366896,18,1587.038424,False,carrot
63.788684,200,1605.97972,False,carrot
110.399952,57,1613.584722,True,wheat
56.638402,200,1632.521427,False,wheat
116.130731,44,1639.482967,True,wheat
20.792477,44,1648.497501,False,carrot
23.733996,60,1657.642348,False,carrot
123.028738,43,1665.168275,True,carrot
104.087297,22,1671.346176,True,wheat
109.681969,41,1679.228306,True,wheat
58.097215,200,1698.244758,False,wheat
114.987823,25,1703.864623,True,potato
117.796955,24,1710.349604,True,potato
16.108397,23,1717.244842,False,potato
50.490254,200,1735.548251,False,wheat
60.321454,200,1755.532078,False,wheat
109.853015,49,1764.464203,True,wheat
112.007727,16,1770.222508,True,potato
132.176992,18,1775.74713,True,potato
113.022105,25,1781.567949,True,potato
121.363679,28,1788.981066,True,carrot
18.439538,35,1796.342293,False,carrot
22.764016,43,1804.232751,False,carrot
129.083286,129,1821.925262,True,wheat
109.505699,62,1831.090831,True,wheat
107.218406,27,1838.291944,True,wheat
5.630177,21,1847.046123,False,carrot
14.3265,26,1853.33184,False,carrot
127.884624,42,1865.324837,True,carrot
123.321633,49,1874.196965,True,potato
120.248087,47,1882.231149,True,potato
114.672105,17,1889.945811,True,potato
117.94624,23,1896.7815,True,potato
119.918471,28,1903.933738,True,potato
115.274048,23,1911.669794,True,potato
117.26113,33,1919.311628,True,carrot
122.133028,42,1931.305242,True,carrot
116.859335,22,1937.077376,True,carrot
114.391916,53,1946.611352,True,wheat
105.622597,19,1952.227128,True,wheat
10.776035,44,1961.41806,False,wheat
4.422597,19,1966.828286,False,wheat
107.426074,22,1974.642997,True,wheat
53.75203,200,1997.153303,False,wheat
115.816992,22,2002.832822,True,potato
115.887732,23,2009.229104,True,potato
117.677071,25,2016.878643,True,potato
140.062181,83,2029.422112,True,carrot
118.177171,26,2037.905139,True,carrot
16.351568,58,2046.483335,False,carrot
50.272506,126,2060.463235,False,carrot
36.17161,83,2069.931657,False,carrot
113.419315,17,2075.609629,True,carrot
111.95587,55,2084.037079,True,wheat
108.340334,34,2090.454129,True,wheat
104.218664,30,2097.568531,True,wheat
114.190613,28,2104.259473,True,potato
113.745049,19,2109.400256,True,potato
121.543023,50,2116.799301,True,potato
116.153688,102,2128.717114,True,wheat
112.081903,37,2135.526676,True,wheat
8.565952,23,2141.874555,False,wheat
115.37833,19,2147.155112,True,potato
116.48655,22,2153.094037,True,potato
115.567991,26,2162.130146,True,potato
15.019444,20,2169.211057,False,carrot
27.043613,86,2180.216426,False,carrot
30.751673,92,2191.134407,False,carrot
117.864515,27,2198.210994,True,potato
115.55554,17,2203.70581,True,potato
112.595383,21,2209.969638,True,potato
6.866956,24,2216.743727,False,wheat
45.102023,200,2236.024084,False,wheat
114.927861,92,2247.049171,True,wheat
22.836732,50,2254.393487,False,carrot
128.412942,63,2262.836105,True,carrot
17.757474,34,2270.981071,False,carrot
20.767295,43,2278.172899,False,carrot
37.188562,72,2287.559029,False,carrot
118.462087,35,2293.981986,True,carrot
123.147227,93,2304.211095,True,wheat
106.708912,31,2311.016224,True,wheat
120.337757,96,2325.257124,True,wheat
116.206992,23,2332.478636,True,potato
119.703345,30,2339.305268,True,potato
115.80655,24,2345.215802,True,potato
122.698423,39,2352.252459,True,carrot
141.404949,84,2363.893574,True,carrot
142.731432,92,2375.841363,True,carrot
45.847634,200,2395.074862,False,wheat
105.458097,36,2405.077324,True,wheat
105.314001,20,2411.087482,True,wheat
116.301766,18,2416.813526,True,potato
111.636777,18,2423.119649,True,potato
116.988138,27,2431.819243,True,potato
36.010352,94,2444.400056,False,carrot
59.944676,200,2467.010253,False,carrot
117.640015,21,2474.040475,True,carrot
5.850617,21,2480.907997,False,wheat
107.659713,19,2488.290841,True,wheat
103.037633,22,2494.484316,True,wheat
118.067613,24,2500.945999,True,potato
144.243254,164,2516.861905,True,potato
116.924227,31,2523.25498,True,potato
14.422726,27,2529.927257,False,carrot
61.474238,200,2549.281893,False,carrot
119.329233,28,2556.792513,True,carrot
120.480685,27,2562.962474,True,potato
113.95351,22,2568.40622,True,potato
114.665049,18,2573.606116,True,potato
104.945543,23,2579.151297,True,wheat
101.73583,17,2584.346903,True,wheat
108.026183,36,2591.119795,True,wheat
140.403038,78,2601.560236,True,carrot
40.34506,94,2612.343427,False,carrot
126.574201,48,2619.635272,True,carrot
117.507459,26,2626.035973,True,potato
114.387992,18,2631.327774,True,potato
116.2465,20,2636.645125,True,potato
102.223632,47,2644.275276,True,wheat
22.953609,68,2655.643672,False,wheat
115.798704,43,2662.392954,True,wheat
125.637194,50,2669.977164,True,carrot
24.122722,52,2678.834524,False,carrot
21.47697,45,2686.472223,False,carrot
105.16737,21,2692.967783,True,wheat
6.590397,47,2701.181887,False,wheat
108.347388,52,2709.399362,True,wheat
118.35733,22,2714.900475,True,potato
114.473912,24,2720.174979,True,potato
114.37833,24,2725.918778,True,potato
116.050728,28,2731.838151,True,carrot
15.858663,25,2737.878615,False,carrot
115.61554,20,2744.168624,True,carrot
117.953791,40,2750.936046,True,potato
113.543952,16,2756.871579,True,potato
130.745157,89,2768.693242,True,potato
106.945766,28,2775.241635,True,wheat
14.15428,40,2782.541419,False,wheat
105.709754,23,2788.174818,True,wheat
17.163598,28,2795.434313,False,carrot
117.817042,22,2801.281898,True,carrot
124.337335,50,2812.54442,True,carrot
107.18987,28,2819.838938,True,wheat
113.49479,60,2829.998168,True,wheat
107.263606,20,2838.719467,True,wheat
117.07655,21,2845.56886,True,potato
117.07655,21,2851.041202,True,potato
113.503952,17,2856.335887,True,potato
108.360105,29,2864.38186,True,wheat
103.954011,25,2871.237402,True,wheat
55.614904,200,2891.102273,False,wheat
120.434105,23,2896.871284,True,carrot
136.007016,76,2906.229687,True,carrot
20.125349,46,2913.481821,False,carrot
114.405049,19,2920.109863,True,potato
117.284098,24,2926.19091,True,potato
119.624277,31,2933.045239,True,potato
11.951561,40,2940.062304,False,carrot
115.208664,19,2945.711816,True,carrot
63.921354,200,2964.081357,False,carrot
102.291224,20,2969.746293,True,wheat
7.301507,20,2976.024305,False,wheat
51.926032,200,2995.203818,False,wheat
114.535281,20,3000.99456,True,potato
116.511766,19,3009.513447,True,potato
114.335049,18,3015.854338,True,potato
10.844769,30,3022.061836,False,carrot
14.680195,20,3028.653136,False,carrot
122.891356,36,3035.339979,True,carrot
114.172105,17,3040.615772,True,potato
114.78429,22,3047.58917,True,potato
15.394928,22,3053.581492,False,potato
102.947863,18,3058.824411,True,wheat
110.468209,42,3066.136387,True,wheat
107.96743,25,3072.1278,True,wheat
115.193428,20,3079.024676,True,potato
115.07554,21,3085.466947,True,potato
114.047619,24,3091.734801,True,potato
115.199714,18,3097.434236,True,carrot
16.72301,27,3103.593344,False,carrot
114.953865,20,3108.888923,True,carrot
103.897297,17,3114.222089,True,wheat
107.311766,19,3120.28923,True,wheat
109.408083,48,3129.874156,True,wheat
57.399768,200,3147.588757,False,potato
116.490274,26,3153.645788,True,potato
117.364788,21,3159.841429,True,potato
110.768681,44,3166.740815,True,wheat
103.359228,29,3175.093608,True,wheat
106.579727,23,3180.944888,True,wheat
