#{"t_start": 1781067866.7056441, "env_id": "None"}
r,l,t,task_success,target
115.16617,33,42.907263,True,potato
14.162723,40,65.759166,False,potato
111.515738,34,81.331491,True,potato
115.178038,39,99.321996,True,potato
115.153256,35,122.955254,True,potato
115.838516,26,134.485057,True,potato
114.050319,27,145.134187,True,potato
113.046564,27,158.738414,True,potato
113.467846,28,170.173598,True,potato
113.271046,26,181.691304,True,potato
115.233797,16,192.090919,True,potato
114.418926,32,204.157103,True,potato
114.5454,35,219.061433,True,potato
118.419261,38,235.281392,True,potato
108.216168,43,252.221474,True,potato
111.594514,34,267.870468,True,potato
112.490153,30,281.785799,True,potato
110.352885,39,296.388873,True,potato
112.303875,28,307.794115,True,potato
115.616624,22,340.627756,True,potato
11.320253,39,364.067481,False,potato
114.222996,27,386.387879,True,potato
113.450519,23,402.275176,True,potato
114.042901,33,419.824825,True,potato
12.402564,15,442.669886,False,potato
113.686194,20,458.831615,True,potato
109.751169,21,472.234811,True,potato
110.042063,33,488.652331,True,potato
111.901839,28,500.188637,True,potato
110.634877,31,512.027366,True,potato
112.928896,24,521.808419,True,potato
115.568526,19,531.162901,True,potato
112.841203,30,541.807737,True,potato
116.355565,26,555.024746,True,potato
110.040658,21,563.36788,True,potato
115.585939,31,574.015143,True,potato
111.129718,24,583.246119,True,potato
112.804361,26,591.980684,True,potato
112.331511,33,601.390502,True,potato
113.577069,27,610.616356,True,potato
111.811049,32,622.749415,True,potato
110.849363,34,633.438165,True,potato
110.5719,29,641.136675,True,potato
112.100106,29,651.522874,True,potato
114.46774,31,661.511858,True,potato
111.145796,25,670.129321,True,potato
110.860265,29,678.132597,True,potato
114.566112,30,687.020799,True,potato
110.38311,33,695.962337,True,potato
114.915658,23,703.875241,True,potato
114.705001,34,712.76948,True,potato
114.246386,35,728.576174,True,potato
113.651803,20,741.662845,True,potato
109.433522,30,749.862481,True,potato
111.021096,27,759.102566,True,potato
110.876168,28,767.34057,True,potato
110.245677,23,777.102327,True,potato
110.902801,32,786.244082,True,potato
112.847863,16,792.889402,True,potato
115.672597,19,800.976513,True,potato
108.463133,40,810.329884,True,potato
112.995992,25,818.243292,True,potato
114.838544,30,842.837411,True,potato
114.228772,33,851.040778,True,potato
113.813405,28,862.338039,True,potato
114.084718,32,871.999753,True,potato
113.208933,23,880.169324,True,potato
110.388673,48,891.98944,True,potato
110.726294,25,898.977554,True,potato
112.982439,20,905.692666,True,potato
112.887735,29,913.628796,True,potato
114.375696,36,921.736285,True,potato
112.15669,26,927.085996,True,potato
114.02296,18,934.032903,True,potato
112.171096,22,941.817577,True,potato
114.984382,31,950.69376,True,potato
113.053522,27,957.663185,True,potato
134.40857,22,965.320628,True,potato
129.311112,25,972.139398,True,potato
105.229933,46,980.178985,True,potato
114.365686,23,987.221925,True,potato
132.204585,27,994.218092,True,potato
113.623522,19,999.07307,True,potato
115.417776,19,1005.28734,True,potato
112.997909,24,1012.700689,True,potato
112.194388,39,1020.300209,True,potato
116.382012,24,1026.942505,True,potato
109.606781,30,1035.542693,True,potato
110.985474,27,1043.413822,True,potato
111.768596,26,1050.67251,True,potato
113.240581,20,1056.993841,True,potato
116.012952,34,1065.633556,True,potato
114.647408,28,1073.561932,True,potato
114.534222,42,1081.991158,True,potato
117.345759,21,1089.181366,True,potato
113.338131,22,1095.839811,True,potato
115.287576,25,1103.918288,True,potato
114.487909,24,1109.763881,True,potato
107.942166,50,1119.143639,True,potato
111.429768,32,1126.23005,True,potato
116.81113,26,1133.476215,True,potato
113.931983,27,1140.793815,True,potato
112.576319,35,1147.741651,True,potato
109.177555,24,1153.483894,True,potato
113.401986,18,1160.329914,True,potato
111.30316,49,1171.141726,True,potato
113.878168,27,1178.453766,True,potato
108.499195,31,1187.534231,True,potato
111.738103,19,1196.037123,True,potato
114.333992,25,1203.418783,True,potato
114.775604,23,1209.581416,True,potato
110.450376,35,1218.211444,True,potato
109.161443,36,1227.43057,True,potato
114.37072,21,1234.846939,True,potato
111.944319,30,1242.301902,True,potato
113.533486,28,1251.281965,True,potato
111.330078,28,1257.510766,True,potato
114.050077,40,1267.644621,True,potato
115.381191,24,1273.499724,True,potato
113.503013,25,1281.379814,True,potato
115.267813,20,1287.480319,True,potato
12.997414,32,1297.385777,False,potato
116.6844,30,1303.180237,True,potato
115.443246,26,1312.650787,True,potato
109.590589,26,1324.813121,True,potato
114.286193,22,1333.067652,True,potato
113.461155,20,1339.22295,True,potato
130.345886,28,1345.645986,True,potato
115.187776,16,1353.687869,True,potato
115.504098,30,1361.2883,True,potato
114.683476,22,1369.128701,True,potato
113.07578,23,1378.899372,True,potato
113.282144,21,1388.032972,True,potato
108.26588,35,1397.979134,True,potato
110.52493,25,1404.246152,True,potato
107.413308,31,1410.881008,True,potato
114.992338,21,1417.008584,True,potato
114.288829,33,1428.329989,True,potato
