#{"t_start": 1780947440.0215948, "env_id": "None"}
r,l,t,task_success,target
-19.047034,113,22.105396,False,wheat
-22.194985,82,34.833688,False,wheat
-3.808147,64,43.611143,False,wheat
-31.529747,140,58.968784,False,wheat
-30.762813,142,75.211388,False,wheat
-28.515398,195,90.771848,False,wheat
2.24351,71,99.218632,False,wheat
-6.815592,91,109.176585,False,wheat
-32.515299,190,126.892573,False,wheat
-26.498686,169,142.127767,False,wheat
10.68532,36,148.00012,False,wheat
4.166386,69,156.932205,False,wheat
-26.188821,178,173.794431,False,wheat
-0.82224,71,181.737645,False,wheat
-4.312847,95,201.266246,False,wheat
-6.481167,93,216.532859,False,wheat
-0.174082,67,226.3201,False,wheat
-24.261446,135,244.496695,False,wheat
5.418958,33,251.443111,False,wheat
-14.62051,146,267.404733,False,wheat
93.647145,118,281.586463,True,wheat
-7.057857,111,298.696856,False,wheat
-1.61665,109,312.620512,False,wheat
-2.658908,167,329.606237,False,wheat
102.128021,106,343.617615,True,wheat
-10.915676,179,362.6177,False,wheat
2.648531,101,372.425533,False,wheat
9.595367,114,384.670845,False,wheat
-4.213482,149,399.819259,False,wheat
5.587224,82,413.583718,False,wheat
4.787264,70,424.927199,False,wheat
1.821003,83,442.762157,False,wheat
106.415861,62,454.221338,True,wheat
108.293727,112,469.148393,True,wheat
11.940284,77,480.327864,False,wheat
107.207699,50,488.55934,True,wheat
9.534085,53,497.450344,False,wheat
-3.895209,110,514.731685,False,wheat
9.515153,95,525.83727,False,wheat
102.640517,137,539.942811,True,wheat
-4.14791,136,556.527928,False,wheat
8.039743,64,565.97748,False,wheat
4.089713,116,582.877892,False,wheat
6.024342,53,599.457929,False,wheat
2.674425,132,615.155574,False,wheat
8.070077,117,631.718178,False,wheat
105.951584,69,642.401902,True,wheat
-0.711746,109,658.631423,False,wheat
6.225284,135,671.485735,False,wheat
7.274813,63,683.318478,False,wheat
103.468735,59,698.878134,True,wheat
119.789498,89,712.354821,True,wheat
7.458802,57,722.546826,False,wheat
105.946963,67,736.024287,True,wheat
11.962275,87,747.297725,False,wheat
7.55674,145,762.729598,False,wheat
114.483034,116,773.588901,True,wheat
3.158358,102,788.66394,False,wheat
2.120998,107,805.027691,False,wheat
107.348792,63,815.109776,True,wheat
-0.855387,131,833.295969,False,wheat
-10.086308,137,849.70369,False,wheat
125.758866,100,862.101943,True,wheat
99.051064,82,879.943473,True,wheat
1.140337,56,897.857884,False,wheat
-0.431164,94,913.948797,False,wheat
-2.476214,84,930.961423,False,wheat
-8.478417,126,947.133013,False,wheat
116.570054,106,963.130167,True,wheat
0.874042,94,982.523047,False,wheat
108.217565,78,994.1692,True,wheat
12.122856,139,1010.52463,False,wheat
5.587952,162,1027.688169,False,wheat
104.775485,153,1041.593994,True,wheat
8.254516,69,1049.966725,False,wheat
98.828939,83,1061.862541,True,wheat
12.549662,57,1070.332406,False,wheat
103.33942,121,1084.572461,True,wheat
12.751781,115,1103.368159,False,wheat
8.893587,97,1116.06866,False,wheat
12.403729,36,1122.194767,False,wheat
108.892883,76,1130.818091,True,wheat
96.816589,167,1144.429766,True,wheat
106.822113,84,1153.752807,True,wheat
106.827803,106,1164.104861,True,wheat
3.072742,45,1170.734936,False,wheat
108.942576,55,1178.364453,True,wheat
22.248915,120,1189.821965,False,wheat
114.784879,182,1206.013458,True,wheat
109.791837,110,1215.309776,True,wheat
114.952152,77,1226.599573,True,wheat
15.226072,176,1241.971835,False,wheat
6.026305,62,1250.247678,False,wheat
115.806027,63,1258.901715,True,wheat
109.695654,78,1268.956483,True,wheat
11.942104,117,1286.913207,False,wheat
11.734185,72,1299.104891,False,wheat
30.135363,140,1317.15896,False,wheat
14.399112,78,1327.436877,False,wheat
4.370361,58,1344.122222,False,wheat
122.952196,103,1360.438689,True,wheat
13.577238,82,1374.206379,False,wheat
110.588379,87,1384.830732,True,wheat
104.681085,78,1395.576193,True,wheat
109.971645,48,1406.069651,True,wheat
14.57675,81,1422.550187,False,wheat
113.261457,54,1432.190572,True,wheat
8.114599,98,1449.090008,False,wheat
2.592872,96,1464.280536,False,wheat
11.408692,133,1485.09786,False,wheat
5.428136,118,1502.312217,False,wheat
110.449572,46,1509.619106,True,wheat
101.725695,99,1521.777559,True,wheat
8.734947,66,1539.481476,False,wheat
119.90778,112,1555.206844,True,wheat
11.751031,73,1573.176479,False,wheat
11.260369,106,1591.161353,False,wheat
113.091024,65,1603.339973,True,wheat
10.972999,52,1621.57731,False,wheat
6.675625,90,1642.936816,False,wheat
7.475866,70,1660.450544,False,wheat
5.82,52,1680.855681,False,wheat
9.072444,55,1705.733142,False,wheat
10.708209,95,1722.741972,False,wheat
109.968317,74,1737.266999,True,wheat
6.770688,103,1756.350448,False,wheat
113.672306,63,1775.353669,True,wheat
119.854563,75,1788.745557,True,wheat
6.244137,79,1808.43912,False,wheat
4.27475,76,1825.242658,False,wheat
7.941963,118,1842.040323,False,wheat
114.255755,47,1851.076726,True,wheat
10.19357,111,1868.192882,False,wheat
18.041436,102,1885.241849,False,wheat
104.764575,84,1894.931579,True,wheat
11.75237,80,1907.515207,False,wheat
104.756449,55,1917.720618,True,wheat
101.729339,122,1932.99533,True,wheat
110.042388,122,1949.836097,True,wheat
111.489771,65,1959.133472,True,wheat
113.157318,109,1973.146924,True,wheat
15.095698,135,1991.737182,False,wheat
115.966585,49,2000.052089,True,wheat
114.009906,74,2014.513615,True,wheat
113.759501,86,2026.024139,True,wheat
17.372393,110,2041.901521,False,wheat
110.330195,116,2055.66254,True,wheat
118.531776,97,2068.959235,True,wheat
17.44992,109,2081.519798,False,wheat
11.310619,70,2091.364918,False,wheat
111.002757,47,2098.667093,True,wheat
111.769936,56,2106.394986,True,wheat
117.785848,69,2115.222163,True,wheat
111.627879,66,2123.677384,True,wheat
111.903146,98,2134.360264,True,wheat
111.752304,93,2145.145166,True,wheat
112.250702,66,2152.749325,True,wheat
14.857939,110,2163.589054,False,wheat
115.828081,170,2178.995749,True,wheat
108.934749,99,2190.238144,True,wheat
121.31455,65,2198.859783,True,wheat
124.672158,83,2209.605368,True,wheat
15.079853,131,2222.193927,False,wheat
106.803388,138,2235.015038,True,wheat
6.042231,183,2250.199669,False,wheat
114.073899,51,2257.623343,True,wheat
112.102327,83,2268.34721,True,wheat
108.762673,53,2275.837721,True,wheat
113.2084,114,2287.67308,True,wheat
13.970618,59,2295.61003,False,wheat
108.15314,69,2304.203489,True,wheat
114.7247,83,2314.6071,True,wheat
125.159374,105,2325.600663,True,wheat
117.136712,84,2336.541916,True,wheat
9.920022,111,2346.947152,False,wheat
115.077216,45,2353.961401,True,wheat
118.59695,92,2364.185009,True,wheat
14.005155,181,2379.481526,False,wheat
-0.43595,171,2394.375456,False,wheat
117.914685,148,2406.439196,True,wheat
120.646227,124,2418.975574,True,wheat
21.465509,126,2431.165862,False,wheat
18.997498,194,2447.037392,False,wheat
