#{"t_start": 1780971857.810436, "env_id": "None"}
r,l,t,task_success,target
130.400846,31,16.67342,True,potato
129.897234,23,27.428938,True,potato
128.465404,22,37.470922,True,potato
128.650767,24,48.433382,True,wheat
4.51655,25,58.611195,False,wheat
166.869444,25,67.12172,True,wheat
128.268347,22,74.249127,True,carrot
130.075454,28,82.093932,True,carrot
129.515281,23,90.642732,True,carrot
128.851466,51,100.912454,True,carrot
130.922597,19,107.630015,True,carrot
166.876805,22,114.512065,True,carrot
129.715454,27,121.783622,True,potato
151.161629,25,128.863494,True,potato
130.871507,25,136.49055,True,potato
36.147992,19,143.409698,False,wheat
-7.419195,20,150.71355,False,wheat
4.168823,15,157.10436,False,wheat
129.37588,21,163.691707,True,carrot
137.010015,25,170.753155,True,carrot
134.421849,40,180.27535,True,carrot
114.919315,17,186.300469,True,wheat
1.141936,33,194.768547,False,wheat
149.623952,19,201.830971,True,wheat
131.5065,24,208.130358,True,potato
130.2665,20,214.914351,True,potato
131.33554,20,221.641099,True,potato
149.669936,22,229.339258,True,carrot
131.816992,29,237.325618,True,carrot
154.875952,29,245.643761,True,carrot
129.625202,22,252.79613,True,potato
129.963557,25,259.649779,True,potato
140.674582,32,273.892467,True,potato
2.180204,19,287.477852,False,wheat
13.315404,27,296.314224,False,wheat
109.929081,37,309.904185,True,wheat
130.68246,22,318.446358,True,potato
151.66554,23,326.654977,True,potato
127.994783,20,336.262204,True,potato
118.457727,16,346.013096,True,wheat
128.011008,23,352.734937,True,wheat
130.893557,28,361.740427,True,wheat
129.175404,28,370.786016,True,carrot
129.470325,29,382.438605,True,carrot
152.979494,21,389.405317,True,carrot
132.440274,26,396.957081,True,carrot
130.076992,28,404.449712,True,carrot
130.682597,25,413.022641,True,carrot
129.915281,23,420.244712,True,potato
131.228563,26,428.035049,True,potato
147.188484,25,435.131384,True,potato
127.687727,19,442.213805,True,wheat
131.161105,32,451.280908,True,wheat
146.689663,27,459.030788,True,wheat
130.10246,21,466.021402,True,wheat
133.567042,22,473.942178,True,wheat
134.956992,23,480.709268,True,wheat
130.4365,22,487.784041,True,potato
166.543902,20,495.83972,True,potato
128.902105,20,502.473927,True,potato
154.202358,39,509.946167,True,carrot
114.272597,21,517.790327,True,carrot
116.776783,28,526.374812,True,carrot
147.848823,18,532.290701,True,carrot
131.843557,20,539.760544,True,carrot
116.93441,29,547.470075,True,carrot
132.639466,20,554.654764,True,wheat
128.380314,27,561.860628,True,wheat
112.591145,22,569.001123,True,wheat
130.31246,22,576.662036,True,potato
130.3565,24,584.183239,True,potato
110.130958,20,591.143402,True,potato
129.686211,40,599.330406,True,carrot
134.220035,27,606.757346,True,carrot
149.990275,23,620.71218,True,carrot
133.683008,25,629.766009,True,wheat
109.010937,23,636.695901,True,wheat
130.35246,21,644.378278,True,wheat
115.836992,21,651.698782,True,potato
11.792413,23,658.710322,False,potato
149.24246,21,667.263097,True,potato
149.5265,21,674.371624,True,carrot
168.267992,21,682.512437,True,carrot
131.978638,23,691.214806,True,carrot
127.831507,31,699.615335,True,wheat
4.324416,41,708.307834,False,wheat
-8.03446,18,714.251147,False,wheat
123.294445,28,722.935127,True,potato
128.618823,20,729.940971,True,potato
131.546992,22,736.964893,True,potato
-14.600014,22,744.420535,False,wheat
105.144353,15,750.733276,True,wheat
4.408823,14,757.318565,False,wheat
129.783557,24,764.567672,True,potato
129.470177,20,771.230905,True,potato
129.961008,23,778.501029,True,potato
134.808138,24,785.757906,True,carrot
128.85246,26,793.480978,True,carrot
130.35246,21,801.361387,True,carrot
131.453557,25,810.568964,True,carrot
133.829986,23,818.24721,True,carrot
133.24655,20,825.177605,True,carrot
131.774048,23,832.91931,True,potato
129.372105,22,840.37482,True,potato
-7.221603,23,848.110193,False,potato
128.386896,20,855.099063,True,wheat
131.185454,24,863.376512,True,wheat
129.535454,29,871.250169,True,wheat
129.779466,19,877.93042,True,potato
130.73554,24,885.773476,True,potato
111.911397,22,892.598781,True,potato
131.607952,23,899.988604,True,wheat
148.939849,28,907.029567,True,wheat
-6.862857,25,913.266408,False,wheat
131.383557,27,920.870196,True,carrot
148.969494,30,928.225975,True,carrot
131.813557,20,935.443709,True,carrot
149.2865,22,942.478437,True,carrot
128.570264,61,952.289589,True,carrot
27.647992,24,959.58931,False,carrot
130.635454,24,965.947334,True,wheat
-5.754546,22,972.40966,False,wheat
-5.659032,24,978.959536,False,wheat
130.193557,33,986.705566,True,potato
130.616992,27,994.182794,True,potato
132.24655,23,1002.064712,True,potato
125.67067,27,1009.697438,True,potato
131.53833,22,1017.792026,True,potato
131.652597,22,1024.761346,True,potato
128.492055,19,1031.757629,True,wheat
151.1865,22,1038.611516,True,wheat
132.607042,31,1046.243627,True,wheat
131.465454,22,1052.952604,True,carrot
131.355454,28,1060.14533,True,carrot
129.77246,23,1067.439782,True,carrot
127.960767,30,1074.872023,True,wheat
-3.946554,30,1082.51207,False,wheat
130.222105,22,1089.21442,True,wheat
119.515639,42,1099.250226,True,carrot
130.537952,28,1108.106576,True,carrot
115.874068,31,1117.006025,True,carrot
130.716371,27,1124.426467,True,potato
152.979494,21,1131.091367,True,potato
115.750274,29,1137.814491,True,potato
149.806992,25,1145.555171,True,carrot
150.832958,25,1152.920624,True,carrot
130.843557,23,1159.964583,True,carrot
129.382259,20,1167.304225,True,potato
131.563557,20,1173.831217,True,potato
128.745049,24,1181.882792,True,potato
131.465454,22,1188.455709,True,wheat
-3.461862,27,1195.856729,False,wheat
8.129945,26,1203.748553,False,wheat
-4.584992,21,1210.515429,False,wheat
145.493952,21,1217.567259,True,wheat
136.717727,17,1224.54367,True,wheat
131.52655,26,1233.345472,True,potato
113.116804,25,1240.275313,True,potato
133.805226,33,1247.002319,True,potato
130.885454,24,1253.816526,True,carrot
149.823121,20,1259.876604,True,carrot
130.423952,19,1267.161982,True,carrot
149.2865,22,1273.740401,True,carrot
130.00246,23,1280.362261,True,carrot
133.768744,28,1287.367468,True,carrot
148.349315,20,1294.324339,True,potato
129.929516,24,1302.068375,True,potato
132.103557,19,1308.898744,True,potato
21.528685,25,1316.435292,False,wheat
130.79246,20,1322.804425,True,wheat
143.570591,23,1329.590794,True,wheat
129.063952,18,1335.842952,True,carrot
131.90554,17,1342.06025,True,carrot
150.8965,23,1348.508298,True,carrot
0.562899,41,1356.452834,False,wheat
-3.350083,31,1364.66536,False,wheat
129.094365,31,1371.202567,True,wheat
132.614048,22,1378.191046,True,potato
130.035049,18,1384.59228,True,potato
128.573952,19,1390.813143,True,potato
131.133557,22,1397.385727,True,potato
127.399466,26,1404.318764,True,potato
131.8965,23,1410.828862,True,potato
-0.749994,51,1419.0592,False,wheat
109.833194,24,1425.368637,True,wheat
149.54241,20,1432.091869,True,wheat
134.181105,24,1438.417269,True,carrot
130.452105,20,1446.753984,True,carrot
150.8865,24,1453.595089,True,carrot
129.2365,22,1460.718718,True,wheat
-20.641177,19,1467.267038,False,wheat
131.075454,23,1474.313442,True,wheat
132.55246,21,1480.756605,True,potato
151.351629,22,1487.639345,True,potato
132.564048,22,1494.542315,True,potato
129.265404,22,1501.337906,True,carrot
111.117727,17,1507.901809,True,carrot
131.032105,18,1514.667296,True,carrot
128.45241,21,1520.398949,True,wheat
132.044048,25,1527.222207,True,wheat
0.736686,27,1534.49256,False,wheat
128.741008,21,1541.383348,True,potato
130.095049,19,1548.040301,True,potato
130.74554,21,1554.653649,True,potato
132.015008,24,1561.499138,True,carrot
150.297732,31,1568.999822,True,carrot
129.05246,26,1576.683921,True,carrot
152.647952,22,1583.33801,True,wheat
127.614783,17,1589.859667,True,wheat
21.05639,40,1597.871445,False,wheat
127.689466,25,1605.80467,True,potato
130.575049,17,1612.153958,True,potato
130.782105,18,1617.765799,True,potato
131.615454,22,1624.533812,True,carrot
131.684048,21,1631.288431,True,carrot
147.253952,22,1638.034643,True,carrot
148.405404,21,1644.859558,True,potato
130.165049,20,1650.679613,True,potato
152.800591,26,1656.998522,True,potato
132.00655,24,1663.879719,True,carrot
147.00241,21,1670.87402,True,carrot
132.92655,21,1677.663226,True,carrot
10.423847,31,1684.214938,False,wheat
145.927372,32,1691.442345,True,wheat
153.006211,24,1698.282983,True,wheat
130.799315,17,1704.865211,True,carrot
3.05655,31,1712.24876,False,carrot
131.563557,20,1719.26671,True,carrot
128.364733,27,1726.781677,True,wheat
127.513902,18,1733.613118,True,wheat
127.70241,26,1741.536559,True,wheat
29.11588,20,1748.419844,False,potato
134.962349,28,1756.591182,True,potato
131.89655,25,1763.320474,True,potato
130.50246,21,1770.268568,True,potato
148.2865,22,1776.768782,True,potato
152.589494,27,1784.097527,True,potato
114.60251,26,1791.347495,True,carrot
148.779444,21,1798.231066,True,carrot
151.188397,24,1804.527667,True,carrot
129.325049,22,1811.734799,True,wheat
141.848397,20,1818.123979,True,wheat
146.379936,38,1826.419881,True,wheat
18.733031,24,1833.006729,False,wheat
50.59634,31,1839.810902,False,wheat
148.375049,22,1846.862827,True,wheat
133.128002,25,1855.167068,True,carrot
133.767647,23,1862.223533,True,carrot
152.309494,24,1869.839498,True,carrot
132.92655,21,1876.86563,True,potato
11.044783,20,1883.003655,False,potato
132.92655,21,1889.939217,True,potato
132.724048,22,1897.101602,True,wheat
146.672358,31,1905.420433,True,wheat
118.000958,17,1911.847205,True,wheat
108.567006,25,1919.186785,True,carrot
151.7265,21,1926.01539,True,carrot
129.150918,25,1933.01397,True,carrot
131.580613,24,1940.31281,True,potato
129.139315,23,1952.554808,True,potato
130.85246,22,1959.773214,True,potato
151.030137,29,1966.520594,True,potato
130.925454,23,1973.899196,True,potato
130.575049,17,1980.432971,True,potato
131.63251,24,1987.619713,True,carrot
115.322597,19,1994.111079,True,carrot
150.767952,29,2002.193619,True,carrot
130.05554,19,2008.941823,True,wheat
147.715404,24,2016.090824,True,wheat
148.486896,20,2023.179531,True,wheat
112.801409,20,2030.842694,True,potato
130.602105,20,2038.139947,True,potato
132.58655,22,2045.3535,True,potato
137.259221,24,2051.783353,True,carrot
132.199782,24,2059.11195,True,carrot
130.25246,21,2067.156417,True,carrot
3.999653,30,2074.027303,False,wheat
125.787727,29,2081.044435,True,wheat
-10.481336,20,2087.622935,False,wheat
4.133557,22,2094.428837,False,potato
132.36655,24,2101.514665,True,potato
154.723629,31,2109.025516,True,potato
141.806855,20,2115.665991,True,wheat
124.951549,33,2122.99071,True,wheat
130.891766,32,2130.506801,True,wheat
132.481234,32,2137.952901,True,carrot
