#{"t_start": 1780861332.801356, "env_id": "None"}
r,l,t,target
40.413442,78,7.817639,clay
21.942981,69,13.775834,clay
-35.047671,100,20.850639,N/A
-53.925418,100,27.326648,N/A
50.065188,65,34.25972,clay
32.124807,77,40.836969,clay
70.913883,26,45.588817,clay
64.599243,31,48.984315,clay
-36.584801,100,56.079684,clay
-59.596117,100,63.166802,clay
73.187655,19,66.053001,clay
-34.015645,100,72.802712,clay
-9.950225,100,79.503866,N/A
48.488368,58,85.690788,clay
-30.823175,100,92.248054,clay
50.389541,58,97.124067,clay
-53.983162,100,104.010902,N/A
16.347922,36,108.143771,clay
68.402617,33,111.763191,clay
-10.949529,100,120.091025,clay
49.723422,65,125.52091,clay
-35.991129,100,132.325175,clay
-33.072426,100,139.354051,N/A
19.217552,67,144.947442,clay
25.147985,44,149.167153,clay
-18.807128,100,157.084773,clay
34.919544,84,163.012601,clay
-63.168104,100,172.088913,clay
21.788412,73,177.931963,clay
-33.097813,100,184.770209,N/A
81.524495,25,188.083946,clay
37.169084,69,193.089309,clay
75.579633,22,196.38542,clay
-35.603927,100,203.185779,clay
-8.32777,100,210.309417,clay
57.654582,35,213.89499,clay
47.566436,53,219.167099,clay
-36.386645,100,225.945048,clay
-6.888351,100,232.78514,clay
-5.039735,100,239.464295,N/A
-34.813249,100,246.833048,clay
-64.77358,100,253.02524,clay
59.587237,35,256.679653,clay
-38.235165,100,263.400685,N/A
79.554107,11,266.099744,clay
62.202544,40,270.290821,clay
60.447503,42,274.584131,clay
28.900472,33,278.301897,clay
49.265264,57,282.924566,clay
-39.074876,100,289.739739,clay
-12.786298,93,296.232657,clay
90.291506,15,300.558134,clay
16.62,68,306.184322,clay
50.302552,38,311.326191,clay
-23.616637,100,318.024491,clay
-45.809349,100,324.560973,N/A
-10.319585,100,332.965283,N/A
-40.808309,100,339.58564,clay
-15.80531,100,346.206134,clay
-13.491736,100,353.034925,clay
16.713137,89,359.347755,clay
53.617656,32,363.214655,clay
64.86,32,366.723359,clay
48.272565,44,372.261855,clay
66.19,21,375.938732,clay
-35.355701,100,382.341098,N/A
24.016466,53,386.873194,clay
27.020712,99,394.436389,clay
26.042128,93,400.807093,clay
39.450142,35,404.616306,clay
18.000081,93,411.815315,clay
29.261571,37,417.692646,clay
59.786559,38,421.927541,clay
31.633517,40,426.20383,clay
64.912498,37,430.355337,clay
68.517052,51,435.076963,clay
-63.043877,100,443.498488,clay
19.596275,81,449.39436,clay
44.252949,90,456.337341,clay
74.73,22,459.53143,clay
63.035966,20,462.698841,clay
-34.840173,100,469.503624,clay
-35.505451,100,477.817535,N/A
-14.720868,100,486.295158,clay
-64.349263,100,492.981661,N/A
46.294197,85,499.379242,clay
-14.102401,100,507.142631,clay
2.178662,91,513.66949,clay
-36.390353,100,520.683987,clay
-43.037856,100,527.738245,clay
57.249647,75,533.026908,clay
-72.138976,100,540.313463,clay
65.868155,40,544.085702,clay
-30.691143,100,550.846013,clay
-24.755437,100,558.019094,clay
-56.060935,100,564.65382,clay
52.678957,100,573.206922,clay
54.070028,56,578.098833,clay
21.769561,92,585.025355,clay
95.573442,15,587.640084,clay
59.773481,33,591.32627,clay
64.242335,45,595.838629,clay
-65.182789,100,603.367149,N/A
32.021853,75,609.094458,clay
-29.548747,100,616.506767,clay
-14.561492,100,624.241923,N/A
-25.220157,100,630.733831,clay
-33.245359,100,637.354596,clay
47.464019,53,642.279607,clay
-52.648068,100,649.153559,N/A
-30.302914,100,656.900598,N/A
-4.358111,100,664.646844,clay
-58.614267,100,671.433566,N/A
74.494626,23,674.666591,clay
-47.802266,100,681.902031,N/A
27.044373,35,685.445858,clay
25.453199,54,690.388555,clay
25.26513,73,696.048895,clay
-32.784399,100,703.657939,clay
52.756398,42,707.863695,clay
-35.122873,100,714.088126,N/A
-31.81847,100,720.887698,clay
57.582005,44,725.944745,clay
18.912223,56,730.364712,clay
-37.076033,100,737.134406,clay
-32.211165,100,746.131138,clay
67.345256,25,749.31569,clay
16.319977,87,755.711367,clay
-24.436426,100,762.350429,clay
-40.837919,100,769.092347,N/A
