#{"t_start": 1780821122.5057628, "env_id": "None"}
r,l,t,target
11.276796,80,9.046908,diamond_ore
-44.927227,100,19.674087,diamond_ore
-57.558748,100,28.221202,diamond_ore
46.047626,75,34.738669,diamond_ore
18.511698,91,42.713016,diamond_ore
66.837937,37,46.720685,diamond_ore
-40.025966,100,55.374682,diamond_ore
76.779913,26,59.557847,diamond_ore
67.199129,15,64.036414,diamond_ore
-48.448451,100,71.571381,diamond_ore
29.251539,37,76.052415,diamond_ore
-48.177126,100,84.020409,diamond_ore
55.976401,41,90.120848,diamond_ore
66.957445,32,93.959744,diamond_ore
-55.493318,100,102.605731,N/A
-34.557251,100,110.844649,diamond_ore
-20.341928,100,118.637979,diamond_ore
-57.09579,100,126.940514,diamond_ore
-71.119949,100,134.911822,diamond_ore
-37.482143,100,143.275458,diamond_ore
-34.643178,100,151.503538,N/A
-45.907096,100,158.54793,N/A
42.877552,76,165.128899,diamond_ore
-63.69495,100,174.29876,diamond_ore
63.01258,28,178.437787,diamond_ore
53.996707,61,184.912634,diamond_ore
-16.258147,99,194.400436,diamond_ore
-45.622861,100,202.857851,diamond_ore
54.971502,31,206.727699,diamond_ore
-54.751855,100,214.08666,diamond_ore
-48.54928,100,222.18564,diamond_ore
-24.534254,100,229.323049,diamond_ore
-42.796829,100,237.923526,diamond_ore
-66.121983,100,248.00999,diamond_ore
48.076982,86,255.178931,diamond_ore
13.881914,70,261.718531,diamond_ore
-38.411093,100,269.665762,diamond_ore
-40.572123,100,277.745713,diamond_ore
-47.481212,100,286.199907,diamond_ore
-39.453654,100,294.417528,diamond_ore
57.666625,41,298.81192,diamond_ore
54.817627,40,303.669457,diamond_ore
13.264227,68,309.856224,diamond_ore
23.905753,95,318.074578,diamond_ore
-37.479346,100,325.880611,diamond_ore
18.641264,74,332.232654,diamond_ore
-30.370886,100,340.083948,diamond_ore
84.477641,24,343.668417,diamond_ore
13.748836,67,349.908423,diamond_ore
54.00097,30,354.115391,diamond_ore
12.153732,95,362.18204,diamond_ore
62.806588,35,366.986619,diamond_ore
-38.787362,100,375.626275,diamond_ore
-37.07261,100,383.433162,diamond_ore
5.303592,100,392.242449,diamond_ore
-42.008168,100,400.698107,N/A
-43.582945,100,409.128811,diamond_ore
-31.507329,100,417.395106,diamond_ore
-38.480945,100,425.358747,diamond_ore
-42.041553,100,434.499987,diamond_ore
-40.629986,100,442.004785,diamond_ore
32.579263,57,447.44718,diamond_ore
54.130552,56,452.54375,diamond_ore
-66.991972,100,461.491039,diamond_ore
-44.192563,100,469.115363,N/A
-17.149381,100,477.051963,diamond_ore
-17.57512,100,484.82227,diamond_ore
91.021364,14,487.604761,diamond_ore
33.611301,62,493.808248,diamond_ore
85.544799,21,497.172121,diamond_ore
-38.866932,100,505.65807,diamond_ore
-45.229523,100,514.201125,diamond_ore
-48.833626,100,522.20805,diamond_ore
35.617416,25,526.272944,diamond_ore
93.017336,13,530.127465,diamond_ore
53.053913,32,534.465308,diamond_ore
-19.334537,100,542.800171,diamond_ore
11.842879,94,551.703212,diamond_ore
-40.348434,100,561.174454,diamond_ore
-46.303581,100,568.871752,diamond_ore
-34.531426,100,578.543732,diamond_ore
21.090327,64,584.416662,diamond_ore
48.328373,76,592.292652,diamond_ore
55.136993,30,596.605099,diamond_ore
53.557022,63,603.120645,diamond_ore
-74.964273,100,611.202132,diamond_ore
-28.441245,100,619.697861,diamond_ore
-43.045468,100,627.393241,diamond_ore
11.005573,97,636.885907,diamond_ore
-19.114452,100,645.383683,diamond_ore
13.433089,78,652.471285,diamond_ore
-47.207962,100,660.490071,diamond_ore
53.253442,39,665.15955,diamond_ore
-45.95655,100,673.084917,diamond_ore
25.079884,72,679.913105,diamond_ore
62.473305,52,685.306091,diamond_ore
-39.641626,100,694.333035,diamond_ore
57.316625,77,701.581717,diamond_ore
72.433126,13,704.743192,diamond_ore
-14.721781,100,712.808891,diamond_ore
32.261285,72,719.682153,diamond_ore
49.318184,23,723.273949,diamond_ore
-20.216032,100,731.45956,diamond_ore
-7.08076,100,739.907847,diamond_ore
-41.921403,100,749.3388,diamond_ore
48.245964,77,756.25673,diamond_ore
-50.000595,100,764.395252,diamond_ore
-42.38197,100,772.198481,diamond_ore
-41.142477,100,780.423877,diamond_ore
-67.305702,100,788.564763,diamond_ore
-38.84502,100,796.834567,diamond_ore
-44.910673,100,804.823532,diamond_ore
47.162425,72,810.87088,diamond_ore
27.540927,57,816.664975,diamond_ore
50.493882,36,821.383521,diamond_ore
87.877982,12,824.291954,diamond_ore
18.86819,84,833.55841,diamond_ore
-8.288941,100,842.212627,diamond_ore
-53.126367,100,851.245613,diamond_ore
54.619051,31,854.990365,diamond_ore
51.926625,30,860.544266,diamond_ore
-18.592828,100,868.555559,diamond_ore
-41.032635,100,878.142273,diamond_ore
32.677385,40,883.350241,diamond_ore
28.879733,29,888.14292,diamond_ore
65.336242,40,892.839688,diamond_ore
62.268364,31,896.636805,diamond_ore
63.387065,47,901.585338,diamond_ore
42.134875,81,908.71978,diamond_ore
84.724926,10,911.45615,diamond_ore
79.972687,10,915.943991,diamond_ore
61.850224,35,921.066468,diamond_ore
14.580286,78,928.707844,diamond_ore
-44.584555,100,936.645555,diamond_ore
-47.024415,100,946.933881,diamond_ore
94.436559,13,949.756829,diamond_ore
3.941656,47,955.319822,diamond_ore
-46.547374,100,965.441627,diamond_ore
38.282861,28,970.147938,diamond_ore
87.43,7,973.096255,diamond_ore
52.033848,49,978.896556,diamond_ore
82.31,10,981.541362,diamond_ore
-43.828286,100,990.318593,diamond_ore
-67.121385,100,998.805096,diamond_ore
22.976111,72,1006.193072,diamond_ore
44.617416,39,1010.876277,diamond_ore
1.156949,65,1016.716188,diamond_ore
-43.713483,100,1025.058237,diamond_ore
-37.598263,100,1032.93021,diamond_ore
60.185388,35,1037.647394,diamond_ore
-34.624391,100,1045.183387,N/A
10.163676,72,1052.619111,diamond_ore
82.395138,16,1055.853232,diamond_ore
-71.508443,100,1064.089413,diamond_ore
-69.758059,100,1071.961373,diamond_ore
31.914076,52,1077.056014,diamond_ore
-39.250801,100,1084.673207,diamond_ore
57.540323,38,1089.289852,diamond_ore
48.931903,42,1094.309674,diamond_ore
-61.12498,100,1102.288059,diamond_ore
-67.426603,100,1110.837732,diamond_ore
-44.631666,100,1118.997353,diamond_ore
-68.281288,100,1127.503511,N/A
62.191145,47,1133.691768,diamond_ore
77.783951,25,1137.422934,diamond_ore
11.839411,90,1146.372747,diamond_ore
55.737684,56,1151.70616,diamond_ore
-45.38096,100,1159.909813,diamond_ore
31.809102,31,1164.040977,diamond_ore
11.64026,80,1170.833019,diamond_ore
41.44945,73,1177.153903,diamond_ore
33.372851,62,1183.027853,diamond_ore
42.239136,78,1189.810864,diamond_ore
42.182283,84,1197.159348,diamond_ore
31.02869,41,1201.664438,diamond_ore
29.161946,31,1205.858363,diamond_ore
-37.011055,100,1213.847934,diamond_ore
53.549754,83,1221.178903,diamond_ore
88.306458,6,1223.689878,diamond_ore
64.722698,24,1227.488521,diamond_ore
36.350029,37,1232.527112,diamond_ore
28.196807,44,1237.949494,diamond_ore
-41.234149,100,1246.339736,diamond_ore
-32.054209,100,1254.783871,diamond_ore
28.492051,72,1261.266369,diamond_ore
24.020772,46,1266.410971,diamond_ore
76.77,13,1270.524774,diamond_ore
78.363615,24,1274.111376,diamond_ore
23.330699,83,1281.434988,diamond_ore
-8.869441,100,1289.723898,diamond_ore
93.81,4,1293.739993,diamond_ore
41.612995,48,1298.838043,diamond_ore
-16.372139,100,1307.425504,diamond_ore
-6.079325,73,1314.836122,diamond_ore
32.552482,72,1321.362176,diamond_ore
22.799929,60,1327.396147,diamond_ore
40.423187,64,1333.471179,diamond_ore
40.508444,48,1338.923778,diamond_ore
-38.794953,100,1348.01091,diamond_ore
61.796087,43,1352.546468,diamond_ore
34.984823,69,1358.998368,diamond_ore
93.18,7,1362.865883,diamond_ore
35.431834,40,1367.628114,diamond_ore
26.263841,43,1373.626749,diamond_ore
51.404644,87,1380.837669,diamond_ore
-37.283153,100,1389.574085,diamond_ore
55.543744,66,1395.475219,diamond_ore
-31.522167,100,1403.517167,diamond_ore
-9.991744,82,1411.639645,diamond_ore
41.289169,44,1416.304225,diamond_ore
15.805659,52,1421.135546,diamond_ore
79.625641,25,1425.104587,diamond_ore
-38.092034,100,1433.458641,N/A
66.16827,36,1437.341681,diamond_ore
48.939465,46,1442.24577,diamond_ore
49.759014,48,1447.428585,diamond_ore
-2.687838,64,1455.110946,diamond_ore
-3.741197,62,1461.39271,diamond_ore
-63.275471,100,1469.549375,N/A
68.145536,56,1475.116705,diamond_ore
76.47884,15,1477.995157,diamond_ore
-38.712921,100,1486.741308,diamond_ore
39.549174,35,1490.454625,diamond_ore
68.634975,30,1494.630571,diamond_ore
65.031131,42,1499.172669,diamond_ore
31.820717,63,1505.360065,diamond_ore
79.890395,24,1509.192996,diamond_ore
30.301554,67,1515.021852,diamond_ore
50.303638,75,1521.658626,diamond_ore
61.407864,36,1527.413354,diamond_ore
85.563313,19,1531.511628,diamond_ore
45.902455,57,1537.45897,diamond_ore
57.349958,28,1543.355283,diamond_ore
-30.812551,100,1551.787932,diamond_ore
22.839417,67,1559.074996,diamond_ore
80.555966,14,1561.886807,diamond_ore
18.615271,99,1571.058941,diamond_ore
77.832721,21,1574.500901,diamond_ore
36.47246,36,1579.538547,diamond_ore
30.222135,35,1584.86252,diamond_ore
80.027428,13,1587.825844,diamond_ore
62.950418,18,1591.215285,diamond_ore
17.293459,97,1599.601169,diamond_ore
22.995,70,1605.359099,diamond_ore
58.842099,69,1612.709495,diamond_ore
38.015857,51,1618.055576,diamond_ore
81.8,22,1621.392637,diamond_ore
54.183449,38,1625.975438,diamond_ore
61.470012,42,1631.346186,diamond_ore
80.522096,18,1635.785307,diamond_ore
33.938983,35,1641.924568,diamond_ore
29.248631,28,1645.687146,diamond_ore
29.944255,42,1650.031071,diamond_ore
74.420002,20,1653.394276,diamond_ore
89.064214,18,1657.038451,diamond_ore
54.504494,22,1660.442482,diamond_ore
50.659782,54,1666.493721,diamond_ore
26.77,28,1670.578238,diamond_ore
19.526718,55,1676.955381,diamond_ore
49.898709,47,1681.715208,diamond_ore
28.141422,65,1689.418341,diamond_ore
56.185667,73,1695.91714,diamond_ore
56.042831,46,1700.814234,diamond_ore
-3.905581,83,1707.777262,diamond_ore
60.820712,73,1714.140648,diamond_ore
109.45,6,1716.735299,diamond_ore
77.468268,23,1720.38271,diamond_ore
105.240492,9,1723.829382,diamond_ore
54.101584,73,1730.527352,diamond_ore
73.004013,23,1734.570726,diamond_ore
-11.57126,98,1743.678116,diamond_ore
60.487332,34,1747.848237,diamond_ore
-37.941988,100,1756.54494,diamond_ore
-4.941347,100,1764.536358,diamond_ore
36.070363,25,1768.685219,diamond_ore
59.154974,28,1773.044779,diamond_ore
65.759267,33,1777.103211,diamond_ore
69.651219,16,1780.431943,diamond_ore
23.358851,70,1787.66509,diamond_ore
32.498837,98,1796.01456,diamond_ore
88.495925,19,1799.707246,diamond_ore
98.235925,15,1803.494354,diamond_ore
89.530492,7,1806.44877,diamond_ore
44.781965,25,1811.304051,diamond_ore
24.240744,80,1818.290274,diamond_ore
-6.915508,57,1823.965084,diamond_ore
40.739807,50,1829.148073,diamond_ore
82.838366,16,1832.149655,diamond_ore
58.044433,51,1837.229682,diamond_ore
-35.674674,100,1846.134154,diamond_ore
3.094768,43,1850.965875,diamond_ore
100.75,10,1853.734241,diamond_ore
51.701357,28,1858.441646,diamond_ore
79.121914,25,1861.835541,diamond_ore
3.80945,76,1868.909305,diamond_ore
30.292771,40,1873.663281,diamond_ore
72.196692,23,1879.047836,diamond_ore
-11.114468,100,1887.291447,diamond_ore
15.776424,83,1894.251911,diamond_ore
74.703431,21,1897.913749,diamond_ore
74.409033,26,1901.649284,diamond_ore
62.396732,42,1906.728752,diamond_ore
69.560911,29,1910.728936,diamond_ore
56.04331,47,1915.448565,diamond_ore
39.777242,62,1922.06376,diamond_ore
20.976647,66,1927.394365,diamond_ore
70.475222,37,1932.300211,diamond_ore
27.548886,57,1937.715226,diamond_ore
100.549973,13,1940.906006,diamond_ore
51.595709,26,1944.682444,diamond_ore
60.972944,35,1949.25613,diamond_ore
85.625966,6,1952.033533,diamond_ore
111.16,5,1954.497414,diamond_ore
83.350562,14,1958.05709,diamond_ore
29.722216,74,1963.991851,diamond_ore
63.633371,42,1968.972453,diamond_ore
61.660479,35,1972.930978,diamond_ore
68.572676,41,1977.871236,diamond_ore
-6.020021,100,1986.110065,diamond_ore
75.646858,24,1990.089137,diamond_ore
61.643501,66,1995.963016,diamond_ore
-34.487455,100,2004.374141,diamond_ore
95.427063,14,2008.917353,diamond_ore
88.020548,7,2011.512339,diamond_ore
75.361097,11,2014.502861,diamond_ore
29.631137,43,2019.087802,diamond_ore
28.22301,96,2027.192553,diamond_ore
75.310472,18,2030.461308,diamond_ore
83.801219,21,2035.423727,diamond_ore
29.303767,45,2040.120736,diamond_ore
69.486528,19,2044.325186,diamond_ore
63.597883,36,2049.570442,diamond_ore
94.465589,16,2052.850114,diamond_ore
41.171068,25,2056.475217,diamond_ore
78.0898,21,2060.17549,diamond_ore
83.796251,22,2063.448141,diamond_ore
70.558647,26,2067.377163,diamond_ore
104.321502,11,2070.996781,diamond_ore
31.670397,38,2076.731132,diamond_ore
101.614944,12,2079.595081,diamond_ore
33.316863,54,2085.204225,diamond_ore
104.077063,9,2088.399264,diamond_ore
74.263403,16,2092.045152,diamond_ore
57.008117,20,2095.590407,diamond_ore
70.94199,38,2100.479371,diamond_ore
93.772339,15,2103.540598,diamond_ore
91.66,19,2106.977088,diamond_ore
44.012429,28,2111.683249,diamond_ore
71.016944,25,2115.622071,diamond_ore
-58.144413,100,2123.686037,diamond_ore
75.784668,28,2127.388487,diamond_ore
32.222028,50,2133.011206,diamond_ore
63.926802,57,2138.479425,diamond_ore
91.344974,19,2142.916846,diamond_ore
67.629846,43,2147.998289,diamond_ore
96.318366,13,2151.288183,diamond_ore
38.559519,35,2156.073706,diamond_ore
110.036001,9,2159.120871,diamond_ore
41.372068,35,2163.526731,diamond_ore
77.899783,27,2167.427763,diamond_ore
65.951252,18,2171.051186,diamond_ore
63.749896,27,2176.010796,diamond_ore
94.08853,17,2179.248673,diamond_ore
29.333434,42,2185.046472,diamond_ore
67.244486,32,2188.982854,diamond_ore
71.372474,44,2194.173532,diamond_ore
46.322139,42,2199.118871,diamond_ore
92.980205,18,2202.150959,diamond_ore
92.868079,16,2205.883927,diamond_ore
85.228127,8,2208.553454,diamond_ore
88.54093,19,2212.03774,diamond_ore
103.1295,11,2215.146479,diamond_ore
57.777202,45,2221.151623,diamond_ore
90.331097,6,2224.075839,diamond_ore
97.250492,13,2227.419472,diamond_ore
59.963385,75,2233.666567,diamond_ore
69.594621,47,2238.563046,diamond_ore
100.580142,13,2242.70646,diamond_ore
76.739902,20,2246.449571,diamond_ore
88.063781,20,2250.07918,diamond_ore
54.714163,40,2255.176457,diamond_ore
43.450039,16,2258.357696,diamond_ore
97.478252,15,2261.910683,diamond_ore
44.105994,19,2265.660811,diamond_ore
80.461228,16,2269.007909,diamond_ore
79.659084,16,2271.798786,diamond_ore
48.685451,62,2278.035847,diamond_ore
64.077912,43,2282.728155,diamond_ore
73.252574,24,2286.457127,diamond_ore
30.380969,32,2290.309077,diamond_ore
99.0,11,2293.961527,diamond_ore
20.859363,41,2298.677155,diamond_ore
80.411754,26,2302.804624,diamond_ore
60.531595,42,2306.980851,diamond_ore
77.77155,12,2310.447404,diamond_ore
78.369272,17,2313.83453,diamond_ore
93.368366,13,2317.463858,diamond_ore
41.977529,89,2324.720909,diamond_ore
46.496577,15,2327.706353,diamond_ore
40.834442,49,2333.995158,diamond_ore
92.019019,19,2337.775471,diamond_ore
70.96195,44,2342.212,diamond_ore
96.268127,15,2345.42138,diamond_ore
76.398891,21,2349.101113,diamond_ore
91.370612,14,2353.402602,diamond_ore
57.620104,46,2358.635596,diamond_ore
49.060942,70,2365.144178,diamond_ore
64.898382,32,2369.554627,diamond_ore
71.487656,20,2374.490167,diamond_ore
95.918366,14,2377.468166,diamond_ore
86.3914,20,2380.8464,diamond_ore
100.13,12,2384.086036,diamond_ore
70.445372,35,2388.916701,diamond_ore
74.052871,21,2392.991391,diamond_ore
91.218146,19,2397.117838,diamond_ore
22.715318,87,2405.167841,diamond_ore
49.831077,46,2409.891465,diamond_ore
67.411006,29,2413.869751,diamond_ore
