#{"t_start": 1780717463.1922045, "env_id": "None"}
r,l,t,target
86.365966,13,4.97825,log
16.489196,90,13.126379,log
-69.402984,100,22.276685,log
-46.037262,100,30.532531,clay
21.302804,53,35.801777,clay
20.923592,83,44.03851,clay
21.610093,30,48.259542,diamond_ore
49.87468,64,54.912633,diamond_ore
66.851539,22,59.19907,diamond_ore
11.78069,63,65.789967,log
-71.658216,100,75.33592,log
74.341219,22,78.615913,log
-44.432759,100,86.560902,diamond_ore
62.632315,33,91.353812,diamond_ore
-22.111482,100,101.205219,diamond_ore
87.090472,14,103.995766,clay
46.051907,76,110.987358,clay
-41.107821,100,119.344246,clay
49.556468,30,123.794653,clay
-49.494743,100,131.752655,
-44.963455,100,139.492202,clay
46.871313,67,145.74155,diamond_ore
-43.324888,100,154.388488,diamond_ore
-52.294005,100,162.871631,
60.442516,35,166.949542,log
-24.578933,100,175.545005,log
-51.847618,100,184.580277,log
-74.810882,100,192.396296,log
-48.987629,100,201.422276,
56.86275,28,205.527562,log
-40.401948,100,214.087744,clay
-22.642756,100,222.248456,clay
44.25065,30,226.370022,clay
53.326995,49,231.044284,clay
-49.923935,100,239.028158,clay
-72.121983,100,247.741893,clay
15.912809,56,253.228129,log
70.021418,32,257.737165,log
22.444742,96,265.408489,log
44.773847,59,271.156464,clay
-50.608842,100,279.882991,clay
-34.271286,100,288.264561,clay
94.181097,5,291.642381,diamond_ore
-49.730479,100,300.565559,diamond_ore
-47.715584,100,309.290035,
50.940532,31,314.155515,diamond_ore
61.92,18,317.76021,diamond_ore
84.823688,19,322.569068,diamond_ore
84.380604,24,326.389468,diamond_ore
79.817063,14,329.380661,diamond_ore
-45.463396,100,338.702023,diamond_ore
58.649568,29,342.883878,log
14.604245,90,350.266436,log
-51.462355,100,359.301077,log
8.79,73,365.294233,clay
-70.866015,100,374.040067,clay
-50.195713,100,381.82065,clay
-45.889611,100,389.763268,clay
-42.107973,100,399.517335,clay
66.992051,47,405.218982,clay
55.520216,35,409.516323,log
-47.555025,100,418.486223,log
-67.558323,100,426.598856,
16.506316,66,433.10679,clay
-48.941253,100,443.789304,clay
27.944907,41,448.938055,clay
51.65345,47,454.373888,diamond_ore
94.28,12,457.220626,diamond_ore
-43.616954,100,465.313818,diamond_ore
43.836452,45,470.352319,diamond_ore
-51.946901,100,479.390883,diamond_ore
44.283595,48,484.533476,diamond_ore
-40.936955,100,492.451118,log
-40.806936,100,501.111319,log
18.941394,43,505.842563,log
-38.050574,100,513.805377,log
66.20821,23,517.380272,log
-45.601223,100,524.942162,log
-46.855045,100,533.759231,diamond_ore
-50.889024,100,542.774104,diamond_ore
20.449714,69,549.056653,diamond_ore
57.019298,27,552.889116,clay
-50.917015,100,561.703401,clay
18.86563,43,565.955683,clay
18.905372,54,573.301929,diamond_ore
-71.18521,100,581.559696,diamond_ore
31.200039,33,586.77672,diamond_ore
60.072663,52,592.187888,diamond_ore
-45.063119,100,601.872356,diamond_ore
-40.984329,100,610.422756,diamond_ore
51.291426,50,615.806043,log
-39.18012,100,623.720716,log
76.51065,18,628.692036,log
-39.071482,100,636.862282,
-41.578634,100,646.455602,clay
-78.384035,100,654.281656,clay
51.56448,57,660.354259,clay
58.59907,30,664.691936,clay
56.274799,26,668.315489,clay
-38.91549,100,677.120399,log
-12.85114,100,685.290855,log
92.1,5,688.012428,log
55.062426,34,692.424685,diamond_ore
54.690053,53,698.313389,diamond_ore
-68.049473,100,706.166991,diamond_ore
7.084963,90,714.203754,log
-45.705968,100,723.700402,log
-17.79602,100,731.891371,log
-39.604332,100,740.262841,diamond_ore
35.418288,61,745.900591,diamond_ore
49.358819,83,752.99567,diamond_ore
-78.00331,100,761.397693,clay
-48.155828,100,770.343983,clay
-67.668288,100,778.450841,
61.891811,41,783.13813,log
16.214619,100,792.314527,log
-66.311236,100,800.47246,log
49.191691,33,804.516733,clay
28.29177,36,809.093401,clay
10.306838,84,817.652489,clay
-54.573488,100,825.83675,diamond_ore
-43.726305,100,834.468585,diamond_ore
48.267325,78,841.061865,diamond_ore
-71.454681,100,849.679481,log
95.07,4,852.069578,log
-47.815413,100,859.532104,log
45.429016,75,865.502284,log
93.230448,18,869.233089,log
-66.915416,100,877.872298,log
86.974214,18,881.737227,diamond_ore
-59.663508,100,890.244193,diamond_ore
-20.169549,100,898.808097,
-69.180924,100,906.731721,
-42.259023,100,915.808353,clay
-48.388451,100,923.725764,clay
-26.383684,100,932.133095,diamond_ore
-22.276057,100,940.311171,diamond_ore
-49.462019,100,949.126474,diamond_ore
-11.964233,100,956.944317,log
-43.949658,100,965.210688,log
-15.221676,100,974.765096,log
25.742063,53,982.151918,clay
14.498336,77,988.170214,clay
71.84018,24,992.851766,clay
39.849572,43,997.580344,log
-41.832155,100,1005.965211,log
29.50277,40,1010.843502,log
-9.305718,100,1019.36809,log
33.227349,67,1027.232675,log
44.722915,53,1032.527536,log
-18.921032,100,1040.7423,clay
55.820113,19,1044.4227,clay
-64.038507,100,1053.687658,clay
-74.749291,100,1062.43112,diamond_ore
-41.725798,100,1070.812272,diamond_ore
-38.757446,100,1079.430403,diamond_ore
38.604746,54,1084.898496,diamond_ore
22.233108,94,1092.259801,diamond_ore
92.877165,14,1095.602195,diamond_ore
32.111652,30,1099.741374,clay
-37.925437,100,1108.504405,clay
60.15365,36,1112.826094,clay
-68.104072,100,1121.423037,clay
-67.938428,100,1129.518575,clay
24.534988,40,1134.226274,clay
-61.294029,100,1142.148102,clay
57.463623,27,1145.751337,clay
-48.986622,100,1154.459898,clay
78.184089,25,1160.006015,diamond_ore
-47.091223,100,1169.456335,diamond_ore
15.288695,89,1177.732285,diamond_ore
-45.17226,100,1185.784541,
-43.135666,100,1193.844273,
-20.966293,100,1202.769262,log
93.280492,16,1207.057102,diamond_ore
78.243626,24,1211.157081,diamond_ore
9.569673,90,1220.387596,diamond_ore
60.553138,35,1226.212097,clay
-43.747118,100,1234.631851,clay
70.080081,24,1240.03115,clay
-22.333626,100,1247.396286,diamond_ore
99.88409,11,1250.198276,diamond_ore
21.960432,90,1258.346856,diamond_ore
47.375468,38,1263.055108,log
-43.222773,100,1272.163066,log
-70.524191,100,1279.888005,
-62.847731,100,1288.106878,log
76.82,19,1291.382274,log
85.601219,13,1294.6638,log
43.693926,55,1300.535201,clay
7.642504,91,1309.734258,clay
29.211956,84,1316.787281,clay
38.514887,61,1323.25914,log
88.530078,9,1326.433698,log
-70.678434,100,1335.368677,log
-39.515385,100,1345.097216,clay
-49.74124,100,1353.906548,clay
29.752814,36,1358.400478,clay
-51.782842,100,1367.457522,clay
53.268507,38,1373.066455,clay
-50.215558,100,1381.359556,clay
65.670966,40,1385.965439,log
31.927275,59,1392.114614,log
19.273452,71,1398.982813,log
-72.958111,100,1408.651254,diamond_ore
-41.608034,100,1417.091433,diamond_ore
14.285129,75,1425.556468,diamond_ore
58.014677,33,1429.818623,log
70.816568,22,1433.852633,log
59.311136,38,1439.035088,log
-31.912249,100,1447.02503,diamond_ore
35.006136,31,1451.448831,diamond_ore
61.499222,36,1456.157893,diamond_ore
87.520487,19,1459.928589,diamond_ore
-36.78473,100,1469.225297,
-19.276904,100,1478.496764,diamond_ore
-47.646452,100,1487.087517,
79.456458,16,1490.493326,log
59.306028,59,1496.502642,log
-38.316002,100,1505.543672,clay
-35.76085,100,1513.527657,clay
44.670541,91,1520.108701,clay
-42.662272,100,1529.165517,log
42.237209,43,1534.89744,log
24.987392,72,1541.015046,log
-32.909932,100,1549.244193,
28.768968,59,1554.91832,diamond_ore
-0.326333,86,1562.798012,diamond_ore
54.929686,31,1566.892428,clay
60.32575,32,1571.158175,clay
64.502159,25,1574.686105,clay
30.809922,29,1579.937745,diamond_ore
-64.625035,100,1587.750878,
63.511699,49,1592.844665,diamond_ore
-64.930088,100,1601.431577,diamond_ore
75.487982,23,1605.147939,diamond_ore
55.055033,30,1609.525304,diamond_ore
18.231128,42,1614.411015,clay
-66.217406,100,1622.764378,clay
36.75766,96,1631.146661,clay
-42.914754,100,1638.870264,log
74.961452,15,1642.021192,log
68.653925,38,1646.941832,log
-42.937877,100,1655.174326,diamond_ore
55.889231,64,1661.090201,diamond_ore
-57.657926,100,1669.225123,diamond_ore
52.869133,61,1674.743606,log
-35.70612,100,1683.413082,log
-41.858938,100,1692.778799,log
34.459864,57,1699.241254,diamond_ore
39.493386,31,1704.910201,diamond_ore
-10.863546,100,1713.165363,diamond_ore
51.547216,41,1718.322466,log
-40.707707,100,1727.56052,log
-42.664376,100,1736.082717,log
15.535988,65,1741.55253,clay
19.167131,68,1748.487299,clay
39.789626,59,1753.970506,clay
109.365966,7,1756.607586,diamond_ore
54.515865,37,1760.945077,diamond_ore
72.042021,18,1764.318536,diamond_ore
12.198207,80,1772.012788,log
53.577586,39,1778.191505,log
-23.611343,100,1785.991343,log
76.254817,26,1789.257906,clay
-72.780851,100,1796.894631,clay
-38.188595,100,1804.684291,clay
-45.983425,100,1813.911573,clay
82.947982,16,1817.161367,clay
21.977821,71,1826.03239,clay
-68.23009,100,1833.984807,log
75.16377,24,1837.977738,log
50.398907,58,1844.168397,log
55.109249,31,1849.62686,clay
-70.778782,100,1857.564487,clay
-37.436097,100,1866.316868,clay
-41.079066,100,1874.916582,log
60.967984,65,1881.653216,log
-6.818437,100,1890.61963,log
17.957974,57,1895.99553,diamond_ore
-38.925278,100,1904.688135,diamond_ore
-47.216089,100,1912.564997,diamond_ore
-36.008969,100,1921.555454,diamond_ore
28.881699,53,1926.668112,diamond_ore
-36.809179,100,1935.254777,diamond_ore
-43.055976,100,1945.378075,clay
-40.750519,100,1953.963611,clay
23.925349,95,1961.843446,clay
87.4,7,1964.946481,log
50.623442,27,1970.610842,log
-72.39388,100,1979.956328,log
54.866765,35,1984.49544,clay
-48.646811,100,1994.146314,
61.066106,26,1998.284115,clay
-40.610263,100,2006.696778,diamond_ore
72.490666,19,2010.383379,diamond_ore
63.035777,26,2015.030399,diamond_ore
46.763414,47,2019.697531,diamond_ore
87.767836,11,2023.258093,diamond_ore
-34.161218,100,2032.214025,diamond_ore
62.897777,43,2036.996341,log
43.651853,54,2042.091235,log
-43.606781,100,2050.157198,log
-74.103243,100,2058.092893,log
47.211889,68,2064.748072,log
27.977145,74,2071.229182,log
82.330492,10,2074.053396,clay
19.694502,61,2080.104531,clay
51.66739,53,2085.282675,clay
-36.845267,100,2093.710017,
53.790173,38,2098.145504,clay
-34.005797,100,2106.603284,clay
95.063442,15,2109.864972,diamond_ore
68.436948,26,2113.487809,diamond_ore
50.685946,25,2116.93051,diamond_ore
-38.241588,100,2124.859253,clay
78.783442,11,2128.149114,clay
17.218716,68,2134.95688,clay
75.35409,21,2140.215191,diamond_ore
-64.40636,100,2148.579909,diamond_ore
-22.918253,100,2156.762671,diamond_ore
-33.135567,100,2164.489592,log
71.127887,18,2167.990062,log
59.195964,25,2171.823601,log
67.906887,64,2178.335546,diamond_ore
-69.606504,100,2187.154462,diamond_ore
86.035047,17,2190.662379,diamond_ore
50.919484,52,2195.843366,log
51.487893,66,2202.436568,log
66.181776,19,2205.733138,log
-38.741812,100,2214.357749,diamond_ore
-41.879458,100,2222.664917,diamond_ore
-59.01867,100,2230.764316,diamond_ore
99.397922,13,2233.858836,log
-64.927253,100,2242.275239,log
65.614902,27,2247.248376,log
53.33586,23,2250.922064,clay
-60.603555,100,2258.778996,clay
54.650821,47,2264.202164,clay
-44.963553,100,2273.674429,log
83.043479,13,2276.91925,log
52.024949,58,2283.415471,log
21.875143,48,2288.781927,clay
-45.091839,100,2297.081766,clay
